rank,id,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
1,be02608d-a52f-4586-ae9b-220dee7daaf1,USA,North America,29.78,1.1,338.35,97.58,99697922,0,1098524,0,97287141,0,1312257,1132805201,334805269,3,305,0,3281.0,2622,3383475,297779.0
2,f6ecf8d7-5867-42dc-9290-24fda4cb14f0,India,Asia,3.18,1.19,64.13,98.78,44662952,0,530511,0,44118882,0,13559,902104560,1406631776,31,2651,2,377.0,698,641322,31752.0
3,911f9162-c39d-4e1c-9768-4d147cce2604,France,Europe,56.43,0.43,413.95,97.97,37012318,0,157546,0,36261179,0,593593,271490188,65584518,2,416,0,2402.0,869,4139547,564345.0
4,4be614b7-9865-4e78-a841-7dca20abd314,Germany,Europe,42.84,0.43,145.84,96.66,35932654,0,155012,0,34732600,101900,1045042,122332384,83883596,2,541,1,1848.0,1406,1458359,428363.0
5,338a3103-483a-4292-9559-1aac2ed47a90,Brazil,South America,16.21,1.97,29.61,97.64,34909480,0,688539,0,34085759,0,135182,63776166,215353593,6,313,3,3197.0,8318,296146,162103.0
6,bc4902f3-885b-4666-bbae-a159b53c831b,S. Korea,Asia,50.62,0.11,30.79,97.15,25981655,62472,29479,59,25241658,26793,710518,15804065,51329899,2,1741,3,574.0,336,307892,506170.0
7,6b196012-2ecd-45e8-aac2-9379e5300894,UK,Europe,34.94,0.81,762.84,98.67,23930041,0,194704,0,23611682,8755,123655,522526476,68497907,3,352,0,2842.0,146,7628357,349354.0
8,55dd283b-20e8-49ac-96f9-774f05abdfa9,Italy,Europe,39.23,0.76,420.54,97.44,23642011,0,179436,0,23037464,0,425111,253427252,60262770,3,336,0,2978.0,238,4205370,392315.0
9,905d7fab-0083-4209-8a10-61f8b3e74994,Japan,Asia,18.15,0.21,62.35,90.07,22790250,0,47139,0,20528109,0,2215002,78307523,125584838,6,2664,2,375.0,176,623543,181473.0
10,8d1ed383-8d38-4bf0-9931-ed46922de1a4,Russia,Europe,14.73,1.82,187.51,97.19,21472591,0,390712,0,20868400,0,213479,273400000,145805947,7,373,1,2680.0,2300,1875095,147268.0
11,a30588f4-4e4b-4e3b-92b2-1baeb341682e,Turkey,Asia,19.77,0.6,190.21,99.4,16919638,0,101203,0,16818435,0,0,162743369,85561976,5,845,1,1183.0,0,1902052,197747.0
12,63ceffad-0f5b-4c16-9ac6-9a3e037159ab,Spain,Europe,28.96,0.85,1008.23,98.4,13529643,0,115239,0,13313832,0,100572,471036328,46719142,3,405,0,2467.0,339,10082298,289595.0
13,de1a2462-a817-4b62-839f-9c0f5f717eda,Vietnam,Asia,11.63,0.38,86.73,92.16,11506656,0,43166,0,10605008,0,858482,85826548,98953541,9,2292,1,436.0,77,867342,116283.0
14,16766eed-520b-48d0-b7a1-f268b1b95520,Australia,Australia/Oceania,40.0,0.15,302.41,99.4,10426939,3373,15808,16,10364130,0,47001,78835048,26068792,3,1649,0,606.0,42,3024116,399978.0
15,7b0615b0-8cf9-43f0-82a9-55f99f273ff2,Argentina,South America,21.13,1.34,77.63,98.61,9720232,0,130003,0,9585461,0,4768,35716069,46010234,5,354,1,2826.0,246,776264,211262.0
16,7d4fc69a-8af7-4d94-8b6e-61be6d099a90,Netherlands,Europe,49.51,0.27,122.64,99.0,8521729,0,22845,0,8436156,2475,62728,21107399,17211447,2,753,1,1327.0,49,1226358,495120.0
